acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-8.7771435,-1.8746599,1.3144168,-1.5980235,1.5540411,3.2253685,16.5,32.76,-6.7799997
-9.01417,-1.8483237,1.4269443,-0.51923543,-0.061086524,-0.47403142,21.18,18.06,-1.68
-9.581595,-1.8219875,1.4437037,-0.45204028,0.23335053,0.21991149,25.92,3.48,2.1
-9.291897,-1.6591818,1.376666,-0.79168135,-0.04520403,-0.07819075,30.66,-10.679999,5.22
-8.832211,-1.5346833,1.3479356,-0.81122905,-0.037873644,-0.010995574,34.92,-24.72,8.16
-8.963891,-1.6711528,1.4221559,-0.8588765,-0.003665192,0.0842994,35.64,-24.779999,7.44
-9.198523,-1.8818425,1.4748282,-0.8527679,0.003665192,0.20647246,35.52,-24.84,7.2
-9.44752,-1.7549498,1.4939818,-0.80756384,-0.007330383,0.31764993,35.219997,-25.08,6.66
-9.212888,-1.7070658,1.460463,-0.8063421,-0.028099801,0.4251622,35.1,-25.56,6.72
-8.858546,-1.7310078,1.484405,-0.8454375,-0.02443461,0.54244834,34.86,-25.859999,6.3599997
-8.911219,-1.8986019,1.5658079,-0.8381071,-0.004886922,0.66828656,34.5,-26.4,5.8199997
-9.033323,-2.0949266,1.5873557,-0.73914695,-0.019547688,0.8038987,34.5,-26.82,5.7
-9.210494,-2.183512,1.5346833,-0.5900958,-0.05375614,0.93584555,34.62,-27.18,5.2799997
-9.3661175,-2.1859062,1.4197617,-0.45081854,-0.105068825,1.0812315,34.38,-27.84,4.74
-9.80665,-2.2888567,1.3670892,-0.32620203,-0.15515977,1.2388347,34.2,-28.74,4.5
-10.496181,-2.3463178,1.2785037,-0.20525073,-0.20769419,1.4013249,33.3,-29.279999,4.08
-10.833763,-2.4636335,1.1923125,-0.07696902,-0.25534168,1.577254,32.76,-30.179998,3.8999999
-10.898406,-2.6120741,1.1875241,0.04520403,-0.27855456,1.7446312,31.619999,-31.439999,3.24
-10.642226,-3.0454245,1.2306197,0.19058995,-0.2687807,1.8863518,30.48,-32.34,3.12
-10.477027,-3.8235402,1.2114661,0.45204028,-0.22113322,1.8997909,29.76,-33.6,3.24
-10.335769,-4.3406878,1.0893618,0.93462384,-0.12583824,1.7140878,28.74,-34.68,2.7
-10.635044,-5.0182467,0.9888053,1.677436,0.07086037,1.5088371,27.72,-35.28,3.36
-9.935937,-5.801151,0.9840169,2.6865854,0.30909783,1.3096951,26.88,-35.88,3.72
-9.272743,-5.674258,0.92176765,3.57234,0.37140608,0.9297369,25.32,-36.66,5.16
-8.082825,-5.291186,0.93373865,3.5735617,0.22479841,0.37140608,24,-37.02,7.08
-7.735666,-6.373365,0.10295067,2.9236012,0.28710666,-0.1563815,22.98,-36.78,9.36
-7.9463553,-7.740454,-0.39025488,2.2565362,0.37507126,-0.43493605,22.68,-35.94,11.7
-6.907272,-9.095572,0.6871359,1.5442673,0.24801129,-0.8026769,22.56,-34.86,13.08
-7.0605006,-10.263943,1.6160861,1.1239921,0.13439035,-1.6102408,22.98,-33.54,14.7
-9.112331,-10.582372,1.2593501,1.3878858,0.006108652,-2.3762658,23.88,-32.16,15.66
-10.395624,-10.951078,1.151611,1.5931365,-0.16371189,-3.0445523,24.359999,-30.84,16.68
-10.42196,-11.013328,1.4867992,1.690875,-0.1966986,-3.8313468,25.68,-28.68,18
-11.446678,-10.0029745,1.5155296,1.72264,-0.20769419,-4.246735,26.82,-26.279999,18.96
-13.747506,-9.078813,1.2330139,1.5980235,-0.31887165,-4.8881435,28.5,-23.16,19.5
-15.387534,-8.135497,1.13964,1.3768903,-0.41783184,-5.246111,30.42,-19.439999,20.16
-16.079458,-7.429208,1.6136919,1.2095132,-0.5571091,-5.254663,32.399998,-15.42,20.039999
-15.71554,-7.055712,2.6791117,1.2388347,-0.8393288,-5.127603,33.54,-11.34,19.859999
-14.4609785,-6.7803793,2.908955,1.1911873,-0.93951076,-5.086064,34.38,-7.3799996,19.38
-13.567941,-6.409278,3.1890767,0.73914695,-1.0812315,-4.8991394,34.38,-3.6,18.42
-13.132196,-6.459556,3.301604,0.22235495,-1.1716396,-4.5985937,34.14,-0.42,17.88
-13.493721,-6.1243677,3.0358477,-0.004886922,-1.1655309,-4.276057,34.2,2.8799999,16.74
-13.838486,-4.9799395,1.9800048,0.06841691,-1.2388347,-3.7836993,34.14,5.7599998,15.719999
-12.334928,-3.1555579,0.05746084,0.028099801,-1.2913691,-3.164282,34.5,8.22,15.12
-11.791444,-0.23223756,-1.5107412,-0.29443705,-1.0372492,-2.6682594,34.38,10.679999,13.92
-10.912771,2.4349031,-1.6831238,-0.97127575,-0.63529986,-1.9425515,34.02,11.94,13.44
-9.198523,4.6136265,-1.6711528,-1.6615535,-0.40194935,-1.0861185,33.36,12.78,13.2
-8.698134,5.8107276,-1.8794483,-1.9779817,-0.5448918,-0.21991149,33.54,13.38,12.96
-9.188946,4.8219223,-2.6264393,-2.3127358,-0.8368854,0.8735373,33.3,12.36,12.66
-8.961497,2.0231004,-3.41892,-2.9712486,-1.1447614,1.8423696,33.78,12.059999,13.08
-8.571242,-0.05267244,-1.9919758,-3.5417967,-1.2437216,2.2149973,34.2,10.44,13.38
-9.52174,0.545878,0.033518825,-3.1752775,-1.351234,2.7672195,34.739998,8.22,13.5
-11.942278,1.30484,0.6392518,-2.0378466,-1.8985692,3.9009855,35.64,6.3599997,13.98
-14.583082,0.47884035,-0.06703765,-1.5332718,-2.375044,5.013982,36.48,3.36,13.259999
-16.170439,-0.8523358,-0.5434838,-1.7776178,-2.510656,5.833763,37.8,0.17999999,11.94
-17.748217,-2.408567,-0.63206923,-2.1233675,-2.3872614,6.72807,37.739998,-3.78,10.32
-20.436905,-4.355053,-0.12928689,-1.9755383,-2.3518312,7.6651373,37.62,-8.4,8.5199995
-23.104046,-5.2840033,0.17956513,-1.4538593,-2.629164,8.498357,36.66,-13.799999,6.72
-26.192566,-3.9025488,0.11252748,-1.0958922,-2.9480357,9.037141,34.68,-18.72,5.1
-29.223625,-3.8115692,0.38307226,-1.2767084,-2.992018,9.442755,31.8,-24,3.4199998
-30.198067,-4.7189717,0.21547815,-1.5271631,-3.0677652,9.399995,27.42,-29.16,1.8
-27.600357,-4.4723687,-0.10055647,-1.4343116,-3.119078,9.00171,22.619999,-32.7,-0.06
-22.515072,-3.4739866,-0.51475334,-1.5711454,-3.0592132,8.067086,16.08,-36.48,-2.46
-17.547104,-2.7365725,-1.0199299,-1.781283,-2.724459,6.857573,9.179999,-38.82,-4.2599998
-13.388376,-2.870648,-0.20590134,-2.0476203,-2.2247713,5.799555,3.54,-39.48,-6.7799997
-9.579201,-3.8043866,0.89782566,-1.831374,-1.640784,4.7525315,-2.7,-39.96,-8.58
-8.422802,-3.8953662,1.4820108,-1.7165314,-0.99204516,3.4330628,-7.08,-39.42,-9.84
-8.540117,-4.0438066,1.3670892,-1.3292428,-0.535118,2.4544566,-10.32,-37.92,-11.58
-7.941567,-4.771644,0.8451532,-0.90285885,-0.25289822,1.9413297,-13.44,-36.899998,-12.54
-6.5457473,-5.920861,0.6368576,-0.53878313,-0.02565634,1.6175711,-15.54,-35.82,-13.32
-6.05733,-6.339846,0.7038953,-0.25411993,0.204029,1.2461652,-17.039999,-34.5,-14.16
-7.007828,-6.8210807,0.47884035,0,0.4202753,0.6951646,-18,-33.84,-14.759999
-6.277597,-8.26239,-0.32800564,0.1563815,0.39828414,0.14905111,-18.96,-33.18,-15.299999
-4.584896,-11.331757,-0.21787235,0.3005457,0.44715336,-0.48258355,-19.439999,-32.82,-15.66
-6.50744,-12.016499,-0.1388637,1.174083,0.84299403,-1.7079792,-19.98,-33,-15.54
-10.967838,-8.832211,-0.59376204,2.605951,1.0641272,-3.378085,-20.039999,-33.84,-15.179999
-15.011644,-4.7285485,-1.0319009,3.4550538,1.1203269,-4.34203,-18.9,-35.219997,-14.04
-16.852785,-2.5833437,-1.2258313,3.3414328,1.0115929,-4.81484,-16.98,-36.899998,-12.3
-18.80406,-1.6687586,-0.36391866,3.1080823,0.7318166,-6.2100563,-13.679999,-38.34,-9.66
-20.448877,-0.5554548,0.6727707,3.2155948,0.46914452,-7.756767,-9.9,-39.719997,-7.02
-18.89504,0.12689269,2.0590134,3.4281757,0.002443461,-8.57777,-5.52,-40.739998,-3.84
-19.318813,-0.82121116,3.0119057,3.3573153,-0.45570546,-9.2485,-0.29999998,-41.399998,-0.59999996
-22.92927,-4.2664676,3.181894,2.7036896,-0.79901177,-9.716423,6,-41.219997,2.58
-26.886885,-7.2304893,2.327164,1.7800614,-0.906524,-10.024299,12.54,-39.42,5.8199997
-25.096022,-9.057265,1.8986019,0.6646214,-0.766025,-9.618684,20.16,-36.239998,8.7
-25.598804,-9.883265,2.0446482,-0.47891834,-0.5119051,-9.261939,26.34,-31.92,10.38
-31.098286,-9.44752,2.1045034,-1.3060299,-0.44104472,-8.640078,32.04,-26.939999,11.58
-28.479029,-6.066907,-2.171541,-1.6701056,-0.44104472,-7.8044143,36.899998,-21.66,12.24
-25.905262,0.7517793,-5.463568,-1.3573426,0.56688297,-6.7378435,39.719997,-15.96,11.88
-24.7752,9.457097,-1.4532804,-0.4605924,1.536937,-5.8068852,42.78,-10.26,11.58
-17.082628,20.673931,-0.82599956,2.719572,1.6701056,-3.6749654,44.1,-4.7999997,11.219999
-14.982914,19.718645,-4.853047,5.474574,0.058643065,-3.875329,44.219997,0.17999999,11.7
-18.667591,19.067423,-10.232818,2.8918362,0.4373795,-2.0476203,43.8,4.5,12.24
-14.06354,24.011448,-3.7732618,-1.9242256,0.8943067,1.6481144,43.26,7.8599997,13.0199995
-11.987768,14.176068,0.82599956,-2.9773571,1.4819591,4.3640213,42.6,9.36,13.559999
-22.43367,7.038953,2.9041667,-1.4257594,1.7849482,5.5148916,42.54,8.7,14.099999
-26.154259,1.1779473,3.311181,0.28710666,1.0775663,6.7720523,43.02,6.24,15.059999
-29.046455,-1.6998832,3.2561142,0.29810223,1.3084733,7.3878045,43.14,2.1599998,16.56
-32.197224,-3.0430303,4.663905,0.061086524,1.5454891,7.946135,41.82,-3.24,17.64
-33.518826,-3.4261026,6.1411276,0.5705481,1.287704,9.523389,39.719997,-8.46,19.199999
-34.69677,-1.2018893,6.5457473,0.50579643,1.1765264,10.102489,36.48,-14.34,20.76
-35.5922,-4.7764325,6.7564373,-1.4135422,0.8332202,10.137919,31.859999,-20.34,21.66
-28.826189,-13.376405,4.8219223,-3.843564,-0.13561209,9.349903,26.58,-25.8,22.859999
-19.86469,-13.182474,6.83784,-4.1648793,-0.7684685,6.785491,20.88,-31.38,22.26
-19.266142,-5.913678,2.5785553,-2.3774874,-0.7110472,5.20335,14.759999,-36.12,20.279999
-18.72984,-4.0653543,0.62009823,-1.709201,-0.97249746,4.0060544,9.12,-39.6,18.119999
-15.907076,-15.773001,-6.993463,-2.833193,-0.8784242,3.3878586,4.74,-42.3,15.299999
-7.560889,-27.174189,-6.5816603,-3.803247,-0.5571091,3.072652,1.5,-43.86,12.599999
-1.7405846,-27.080816,-4.1826706,-2.4727826,0.45081854,2.7000244,-1.02,-44.52,10.2
1.5586253,-23.774424,-4.51307,-1.4660766,0.35430184,1.0910053,-3.12,-45.12,7.7999997
5.719748,-24.272417,-4.88896,-1.9144517,0.41050145,0.71837753,-5.1,-45.36,5.1
4.1539397,-25.938782,-2.1571758,-1.4453071,1.1606439,-0.62796944,-6.2999997,-45.42,2.82
-1.9057846,-20.252552,-1.283292,-0.28099802,1.6444492,-2.8722885,-7.14,-45.719997,1.4399999
-3.4644098,-19.110518,-1.0702082,1.2730432,1.5809193,-4.0732493,-6.8999996,-46.26,0.59999996
-5.410896,-19.546263,-2.2768857,1.9242256,1.4184291,-5.557652,-4.3199997,-46.14,1.02
-13.611036,-21.416134,-2.2505496,3.2754595,1.6786577,-7.0554934,-1.62,-46.2,1.9799999
-59.32353,-18.974049,-4.5801077,4.542394,2.1514673,-8.49347,3.24,-45.84,4.02
-28.421568,-15.32768,-0.22984336,4.37013,-0.111177474,-7.0750413,8.94,-43.62,7.2
-40.08133,-18.782513,3.2321723,2.361605,0.59498274,-8.802568,13.679999,-41.34,10.38
