acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-2.8275523,-7.252037,5.973533,-0.003665192,0,0.004886922,23.699999,-9.3,14.099999
-2.7485435,-7.285556,5.971139,-0.4361578,-0.05375614,-0.49235737,20.039999,-3.6,-1.02
-2.8060043,-7.225701,5.949591,0.12950343,0.2687807,0.31398472,18.359999,-0.35999998,-8.76
-2.7940333,-7.249643,5.9998693,-0.008552114,0.009773844,0.014660766,16.68,2.76,-17.46
-2.8203697,-7.264008,6.021417,-0.003665192,0.002443461,0.006108652,17.039999,2.9399998,-17.82
-2.801216,-7.2592196,6.009446,0.003665192,0,0.001221731,17.1,3.1799998,-17.699999
-2.8491,-7.1730285,5.9639564,0.002443461,-0.001221731,0.003665192,16.619999,2.7,-17.699999
-2.8514943,-7.2807674,5.971139,-0.007330383,-0.002443461,0.006108652,16.56,2.76,-17.46
-2.8299465,-7.1826053,5.9519854,-0.014660766,-0.002443461,0.007330383,16.619999,2.9399998,-18
-2.825158,-7.3047094,5.9304376,-0.017104227,-0.001221731,0.007330383,16.98,3.12,-18.24
-2.8514943,-7.2185183,5.98311,-0.009773844,-0.001221731,0.003665192,17.88,3.6599998,-18.359999
-2.8107927,-7.2831616,5.9926867,-0.006108652,-0.001221731,0.002443461,17.94,3.78,-18.06
-2.777274,-7.2807674,5.9807158,-0.007330383,-0.002443461,0.001221731,17.76,3.8999999,-17.52
-2.7820623,-7.264008,5.932832,-0.012217305,-0.001221731,0.001221731,17.76,3.8999999,-17.52
-2.7940333,-7.275979,5.920861,-0.009773844,-0.001221731,0.001221731,17.16,4.08,-17.52
-2.8419175,-7.299921,5.9783216,0,0.001221731,0.001221731,17.16,4.2599998,-17.58
-2.8083985,-7.1873937,5.995081,-0.001221731,0,-0.001221731,16.56,3.78,-17.88
-2.8874073,-7.2544312,5.9448028,-0.006108652,0.001221731,0,16.32,3.54,-17.699999
-2.8060043,-7.3166804,5.98311,-0.009773844,0.002443461,0,16.38,3.3,-17.699999
-2.825158,-7.345411,5.9998693,-0.001221731,0,-0.003665192,16.02,3.24,-18.06
